Administering_IC_K99,Congressional_District_K99,Department_K99,Organization_Name_K99,Organization_City_K99,Organization_State_K99,Organization_Type_K99,Funding_IC.s._K99,K99_inst_pub_priv,same_dept,same_insti,Administering_IC_R00,Congressional_District_R00,Department_R00,Organization_Name_R00,Organization_City_R00,Organization_State_R00,Organization_Type_R00,Fiscal_Year_R00,Funding_IC.s._R00,R00_inst_pub_priv,Grant_type,Retained_Y_N,years_to_obtain_R01,Obtained_R01,ga_gender,K99_pub_priv,R00_pub_priv,Top_25_NIH_funding_K99,Top_25_NIH_funding_R00
NICHD,18,BIOPHYSICS,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NICHD,Private,FALSE,FALSE,NICHD,3,BIOCHEMISTRY,YALE_U_R00,NEW HAVEN,CT,SCHOOLS OF ARTS AND SCIENCES,2017,NICHD,Private,R35,LEFT,4,YES,male,Private,Private,YES,YES
NCI,18,INTERNAL MEDICINE/MEDICINE,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NCI,Private,TRUE,FALSE,NCI,13,INTERNAL MEDICINE/MEDICINE,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2012,NCI,Private,Unknown,LEFT,10,NO,male,Private,Private,YES,YES
NCI,4,NEUROSURGERY,DUKE_U_K99,DURHAM,NC,SCHOOLS OF MEDICINE,NCI,Private,TRUE,TRUE,NCI,4,NEUROSURGERY,DUKE_U_R00,DURHAM,NC,SCHOOLS OF MEDICINE,2022,NCI,Private,Unknown,STAYED,1,NO,male,Private,Private,YES,YES
NIDA,7,PHARMACOLOGY,U_OF_WASHINGTON_K99,SEATTLE,WA,SCHOOLS OF MEDICINE,NIDA,Public,FALSE,FALSE,NIDA,1,ANESTHESIOLOGY,WASHINGTON_U_R00,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,2011,NIDA,Private,R01,LEFT,3,YES,male,Public,Private,YES,YES
NIBIB,1,BIOLOGY,U_OF_CHICAGO_K99,CHICAGO,IL,SCHOOLS OF MEDICINE,NIBIB,private,FALSE,FALSE,NIBIB,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_R00,BOSTON,MA,Independent Hospitals,2017,NIBIB,Private,R01,LEFT,3,YES,male,private,Private,NO,YES
NIA,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NIA,Private,TRUE,TRUE,NIA,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_R00,BOSTON,MA,Independent Hospitals,2021,NIA,Private,DP2,STAYED,1,YES,female,Private,Private,YES,YES
NCI,7,UnavaiLABle,DANA-FARBER_CANCER_INST_K99,BOSTON,MA,Independent Hospitals,NCI,Private,TRUE,FALSE,NCI,7,UnavaiLABle,FRED_HUTCHINSON_CANCER_RES_CTR_R00,SEATTLE,WA,Research Institutes,2019,NCI,Private,Unknown,LEFT,3,NO,female,Private,Private,NO,YES
NHLBI,18,SURGERY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NHLBI,Private,FALSE,FALSE,NHLBI,7,PHARMACOLOGY,NORTHWESTERN_U_R00,CHICAGO,IL,SCHOOLS OF MEDICINE,2015,NHLBI,Private,R01,LEFT,3,YES,male,Private,Private,YES,NO
NCI,12,PATHOLOGY,NEW_YORK_U_SCH_OF_MED_K99,NEW YORK,NY,SCHOOLS OF MEDICINE,NCI,Private,FALSE,FALSE,NCI,3,BIOLOGY,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,2014,NCI,Private,R01,LEFT,4,YES,male,Private,Private,NO,YES
NINDS,3,NEUROLOGY,YALE_U_K99,NEW HAVEN,CT,SCHOOLS OF MEDICINE,NINDS,Private,TRUE,TRUE,NINDS,3,NEUROLOGY,YALE_U_R00,NEW HAVEN,CT,SCHOOLS OF MEDICINE,2010,NINDS,Private,R01,STAYED,7,YES,male,Private,Private,YES,YES
NIDDK,13,INTERNAL MEDICINE/MEDICINE,COLUMBIA_U_HEALTH_SCI_K99,NEW YORK,NY,SCHOOLS OF MEDICINE,NIDDK,Private,TRUE,FALSE,NIDDK,13,INTERNAL MEDICINE/MEDICINE,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2020,NIDDK,Private,Unknown,LEFT,2,NO,Unknown,Private,Private,YES,YES
NEI,3,NEUROLOGY,U_OF_PENNSYLVANIA_K99,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,NEI,Private,FALSE,FALSE,NEI,3,NEUROSCIENCES,YALE_U_R00,NEW HAVEN,CT,SCHOOLS OF MEDICINE,2010,NEI,Private,R01,LEFT,5,YES,female,Private,Private,YES,YES
NIDDK,10,UnavaiLABle,ST_LUKES-ROOSEVELT_INST_FOR_HLTH_ SCI_K99,NEW YORK,NY,Research Institutes,NIDDK,Private,FALSE,FALSE,NIDDK,7,PSYCHIATRY,JOHNS_HOPKINS_U_R00,BALTIMORE,MD,SCHOOLS OF MEDICINE,2013,NIDDK,Private,R01,LEFT,7,YES,female,Private,Private,NO,YES
NIBIB,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NIBIB,Private,TRUE,TRUE,NIBIB,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_R00,BOSTON,MA,Independent Hospitals,2012,NIBIB,Private,R01,STAYED,4,YES,male,Private,Private,YES,YES
NINDS,7,UnavaiLABle,U_OF_WASHINGTON_K99,SEATTLE,WA,Domestic Higher Education,NINDS,Public,FALSE,FALSE,NINDS,7,NEUROLOGY,NORTHWESTERN_U_R00,CHICAGO,IL,SCHOOLS OF MEDICINE,2016,NINDS,Private,DP2,LEFT,2,YES,female,Public,Private,YES,NO
NIEHS,13,NONE,U_OF_CALIFORNIA_BERKELEY_K99,BERKELEY,CA,SCHOOLS OF PUBLIC HEALTH,NIEHS,public,FALSE,FALSE,NIEHS,13,PUBLIC HEALTH & PREV MEDICINE,COLUMBIA_U_HEALTH_SCI_R00,NEW YORK,NY,SCHOOLS OF PUBLIC HEALTH,2019,NIEHS,Private,R01,LEFT,2,YES,male,public,Private,NO,YES
NHGRI,7,UnavaiLABle,BRIGHAM_&_WOMENS_HOSP_K99,BOSTON,MA,Independent Hospitals,NHGRI,Private,TRUE,TRUE,NHGRI,7,UnavaiLABle,BRIGHAM_&_WOMENS_HOSP_R00,BOSTON,MA,Independent Hospitals,2015,NHGRI,Private,R01,STAYED,4,YES,male,Private,Private,YES,YES
NCI,12,INTERNAL MEDICINE/MEDICINE,U_OF_CALIFORNIA_SAN_FRANCISCO_K99,SAN FRANCISCO,CA,SCHOOLS OF MEDICINE,NCI,public,FALSE,FALSE,NCI,12,BIOCHEMISTRY,NEW_YORK_U_SCH_OF_MED_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2021,NCI,Private,Unknown,LEFT,1,NO,male,public,Private,YES,NO
NIA,18,NEUROLOGY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NIA,Private,FALSE,FALSE,NIA,13,NEUROSCIENCES,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2017,NIA,Private,R01,LEFT,3,YES,male,Private,Private,YES,YES
NIDA,7,ANESTHESIOLOGY,U_OF_WASHINGTON_K99,SEATTLE,WA,SCHOOLS OF MEDICINE,NIDA,Public,FALSE,FALSE,NIDA,1,RADIATION-DIAGNOSTIC/ONCOLOGY,WASHINGTON_U_R00,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,2022,NIDA,Private,Unknown,LEFT,1,NO,male,Public,Private,YES,YES
NIEHS,7,PATHOLOGY,U_OF_WASHINGTON_K99,SEATTLE,WA,SCHOOLS OF MEDICINE,NIEHS,Public,FALSE,FALSE,NIEHS,5,PUBLIC HEALTH & PREV MEDICINE,EMORY_U_R00,ATLANTA,GA,SCHOOLS OF PUBLIC HEALTH,2010,NIEHS,Private,R01,LEFT,9,YES,male,Public,Private,YES,YES
NIDDK,9,PEDIATRICS,BAYLOR_COLL_OF_MED_K99,HOUSTON,TX,SCHOOLS OF MEDICINE,NIDDK,Private,FALSE,FALSE,NIDDK,1,INTERNAL MEDICINE/MEDICINE,WASHINGTON_U_R00,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,2012,NIDDK,Private,R01,LEFT,4,YES,male,Private,Private,NO,YES
NEI,7,BIOCHEMISTRY,JOHNS_HOPKINS_U_K99,BALTIMORE,MD,SCHOOLS OF MEDICINE,NEI,Private,TRUE,TRUE,NEI,7,BIOCHEMISTRY,JOHNS_HOPKINS_U_R00,BALTIMORE,MD,SCHOOLS OF MEDICINE,2022,NEI,Private,Unknown,STAYED,1,NO,male,Private,Private,YES,YES
NIA,18,PATHOLOGY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NIA,Private,FALSE,TRUE,NIA,18,SURGERY,STANFORD_U_R00,STANFORD,CA,SCHOOLS OF MEDICINE,2018,NIA,Private,Unknown,STAYED,4,NO,male,Private,Private,YES,YES
NIMH,4,OTHER BASIC SCIENCES,DUKE_U_K99,DURHAM,NC,SCHOOLS OF ARTS AND SCIENCES,NIMH,Private,FALSE,FALSE,NIMH,3,PSYCHOLOGY,YALE_U_R00,NEW HAVEN,CT,SCHOOLS OF ARTS AND SCIENCES,2014,NIMH,Private,R01,LEFT,3,YES,male,Private,Private,YES,YES
NINDS,12,NEUROSCIENCES,WEILL_MED_COLL_OF_CORNELL_U_K99,NEW YORK,NY,SCHOOLS OF MEDICINE,NINDS,Private,FALSE,FALSE,NINDS,3,PSYCHIATRY,YALE_U_R00,NEW HAVEN,CT,SCHOOLS OF MEDICINE,2022,NINDS,Private,Unknown,LEFT,1,NO,female,Private,Private,NO,YES
NHLBI,7,INTERNAL MEDICINE/MEDICINE,JOHNS_HOPKINS_U_K99,BALTIMORE,MD,SCHOOLS OF MEDICINE,NHLBI,Private,TRUE,TRUE,NHLBI,7,INTERNAL MEDICINE/MEDICINE,JOHNS_HOPKINS_U_R00,BALTIMORE,MD,SCHOOLS OF MEDICINE,2011,NHLBI,Private,Unknown,STAYED,11,NO,male,Private,Private,YES,YES
NIDCR,3,ANATOMY/CELL BIOLOGY,U_OF_PENNSYLVANIA_K99,PHILADELPHIA,PA,SCHOOLS OF DENTISTRY/ORAL HYGN,NIDCR,Private,FALSE,TRUE,NIDCR,3,UnavaiLABle,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,Domestic Higher Education,2019,NIDCR,Private,R01,STAYED,4,YES,male,Private,Private,YES,YES
NCI,9,BIOLOGY,U_OF_TX_MD_ANDERSON_CAN_CTR_K99,HOUSTON,TX,HOSPITALS,NCI,Public,FALSE,FALSE,NCI,7,NEUROSURGERY,NORTHWESTERN_U_R00,CHICAGO,IL,SCHOOLS OF MEDICINE,2020,NCI,Private,Unknown,LEFT,2,NO,female,Public,Private,NO,NO
NICHD,18,ANATOMY/CELL BIOLOGY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NICHD,Private,FALSE,FALSE,NICHD,7,BIOLOGY,JOHNS_HOPKINS_U_R00,BALTIMORE,MD,SCHOOLS OF ARTS AND SCIENCES,2008,NICHD,Private,R01,LEFT,4,YES,male,Private,Private,YES,YES
NLM,5,INTERNAL MEDICINE/MEDICINE,VANDERBILT_U_K99,Nashville,TN,SCHOOLS OF MEDICINE,NLM,Private,FALSE,FALSE,NLM,5,UnavaiLABle,VANDERBILT_U_MED_CTR_R00,NASHVILLE,TN,Independent Hospitals,2016,NLM,Private,R01,LEFT,4,YES,male,Private,Private,YES,NO
